,nome,coordenadas,localiza__oLabel,imagem,DGPC_ID,informação
513,Convento de Jesus de Setúbal,Point(-8.894908333 38.526147222),"Setúbal (São Julião, Nossa Senhora da Anunciada e Santa Maria da Graça)",http://commons.wikimedia.org/wiki/Special:FilePath/Setubal.Igreja%20de%20Jesus12.jpg,70218.0,http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/70218
514,Convento de Cristo,Point(-8.419258 39.603636),Tomar (São João Baptista) e Santa Maria dos Olivais,http://commons.wikimedia.org/wiki/Special:FilePath/Convento%20Cristo%20December%202008-8.jpg,70237.0,http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/70237
515,Convento das Chagas (Vila Viçosa),Point(-7.421242 38.781632),Nossa Senhora da Conceição e São Bartolomeu,http://commons.wikimedia.org/wiki/Special:FilePath/Igreja%20e%20claustro%20do%20Convento%20das%20Chagas.jpg,70208.0,http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/70208
516,Convento da Penha Longa,Point(-9.397972 38.762637),"Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim)",http://commons.wikimedia.org/wiki/Special:FilePath/Claustro%20Convento%20da%20Penha%20Longa%20Sintra%20IMG%206904.jpg,69854.0,http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/69854
517,Convento da Cartuxa (Évora),Point(-7.919768 38.581212),"União das Freguesias de Évora (São Mamede, Sé, São Pedro e Santo Antão)",http://commons.wikimedia.org/wiki/Special:FilePath/Convento%20da%20Cartuxa%20-%20%C3%89vora%20-%20Portugal%20%28520228706%29.jpg,69782.0,http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/69782
518,Conjunto dos sítios arqueológicos no Vale do Rio Côa,Point(-7.11666667 41.03333333),Vila Nova de Foz Côa,http://commons.wikimedia.org/wiki/Special:FilePath/Rock%20Art%20Foz%20Coa%2001.jpg,16004552.0,http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/16004552
519,Conjunto de tanques cavados nos rochedos da Praia de Angeiras,Point(-8.724385 41.259427),"Perafita, Lavra and Santa Cruz do Bispo",http://commons.wikimedia.org/wiki/Special:FilePath/Tanques%20Romanos%20para%20a%20Salga%20de%20Peixe%20-%20Praia%20de%20Angeiras%20-%20Portugal.jpg,71211.0,http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/71211
520,Conimbriga,Point(-8.493317 40.09891),Condeixa-a-Velha e Condeixa-a-Nova,http://commons.wikimedia.org/wiki/Special:FilePath/P1080406%20Ruinas%20Conimbriga%20%28Condeixa-a-Nova%29.jpg,70107.0,http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/70107
521,Colégio de São Jerónimo,Point(-8.422905 40.208641),"Coimbra (Sé Nova, Santa Cruz, Almedina e São Bartolomeu)",http://commons.wikimedia.org/wiki/Special:FilePath/Col%C3%A9gio%20de%20S.%20Jer%C3%B3nimo%203.jpg,70104.0,http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/70104
522,Colégio da Graça,Point(-8.431 40.213838),"Coimbra (Sé Nova, Santa Cruz, Almedina e São Bartolomeu)",http://commons.wikimedia.org/wiki/Special:FilePath/1%201%20Diogo%20Castilho%20Igreja%20da%20Gra%C3%A7a%20Coimbra%20IMG%209159.jpg,69814.0,http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/69814
